CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,1 Day,2414
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,15  to 21 Days,1587
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,2 to 7 Days,6570
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,22  to 28 Days,1002
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,8  to 14 Days,3266
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,More than 28 Days,618
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,Same Day,13803
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Face-to-Face,Unknown / Data Issue,8
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Home Visit,1 Day,27
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Home Visit,15  to 21 Days,3
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Home Visit,2 to 7 Days,18
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Home Visit,8  to 14 Days,4
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Home Visit,Same Day,104
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,1 Day,1193
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,15  to 21 Days,89
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,2 to 7 Days,1733
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,22  to 28 Days,33
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,8  to 14 Days,235
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,More than 28 Days,11
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Telephone,Same Day,8599
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,1 Day,43
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,15  to 21 Days,133
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,2 to 7 Days,175
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,22  to 28 Days,77
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,8  to 14 Days,261
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,More than 28 Days,35
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,GP,Video/Online,Same Day,41
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,1 Day,3169
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,3365
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,11785
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2566
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,7082
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,More than 28 Days,2548
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,Same Day,12923
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,13
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Home Visit,8  to 14 Days,7
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,1 Day,347
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,15  to 21 Days,58
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,2 to 7 Days,455
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,22  to 28 Days,70
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,8  to 14 Days,95
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,More than 28 Days,32
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Telephone,Same Day,3308
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,1 Day,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,15  to 21 Days,31
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,2 to 7 Days,22
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,22  to 28 Days,33
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,8  to 14 Days,29
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,More than 28 Days,9
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Other Practice staff,Video/Online,Same Day,10
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Face-to-Face,1 Day,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Home Visit,1 Day,8
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Home Visit,2 to 7 Days,3
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Home Visit,More than 28 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Home Visit,Same Day,33
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Telephone,Same Day,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,1 Day,301
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,15  to 21 Days,78
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,2 to 7 Days,610
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,22  to 28 Days,59
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,8  to 14 Days,209
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,More than 28 Days,37
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Attended,Unknown,Unknown,Same Day,2290
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,1 Day,78
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,15  to 21 Days,146
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,2 to 7 Days,406
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,22  to 28 Days,101
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,8  to 14 Days,265
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,More than 28 Days,55
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Face-to-Face,Same Day,185
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,1 Day,12
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,15  to 21 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,2 to 7 Days,14
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,22  to 28 Days,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,8  to 14 Days,3
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Telephone,Same Day,20
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,1 Day,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,15  to 21 Days,9
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,2 to 7 Days,5
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,22  to 28 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,8  to 14 Days,21
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,GP,Video/Online,More than 28 Days,5
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,1 Day,196
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,330
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,683
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,281
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,8  to 14 Days,537
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,More than 28 Days,241
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,Same Day,343
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Telephone,1 Day,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Telephone,2 to 7 Days,7
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Telephone,More than 28 Days,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Telephone,Same Day,9
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Video/Online,15  to 21 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Video/Online,2 to 7 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Video/Online,22  to 28 Days,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Video/Online,8  to 14 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Other Practice staff,Video/Online,More than 28 Days,2
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,1 Day,12
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,15  to 21 Days,7
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,2 to 7 Days,40
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,22  to 28 Days,5
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,8  to 14 Days,18
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,More than 28 Days,1
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,DNA,Unknown,Unknown,Same Day,21
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,1 Day,68
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,15  to 21 Days,42
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,2 to 7 Days,246
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,22  to 28 Days,68
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,8  to 14 Days,65
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,More than 28 Days,40
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Face-to-Face,Same Day,452
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Home Visit,1 Day,3
11E,E38000009,NHS Bath and North East Somerset CCG,E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E39000043,NHS England South West (South West North),E40000006,South West Commissioning Region,Jan-18,Unknown,GP,Home Visit,2 to 7 Days,4
